timestamp,user_id,pc_id,resource_path,activity,labels
2010-10-12 13:21:59,MBG3183,PC-3906,https://www.dropbox.com/home/Qebcobk2039005820.aspx/46BUD2JL.zip,WWW Upload,jobsearch
2010-10-12 13:22:04,MBG3183,PC-3906,https://www.dropbox.com/home/Qebcobk2039005820.aspx/46BUD2JL.zip,WWW Upload,jobsearch
2010-10-12 13:22:27,MBG3183,PC-3906,https://www.dropbox.com/home/Qebcobk2039005820.aspx/WO83A8RQ.jpg,WWW Upload,jobsearch
2010-10-12 13:22:56,MBG3183,PC-3906,https://www.dropbox.com/home/Qebcobk2039005820.aspx/756O1A4U.txt,WWW Upload,jobsearch
2011-02-02 09:08:00,CMP2946,PC-9447,http://linkedin.com/PybfvatCebwrpgwbofrnepu1479839504.htm,WWW Visit,"Closing Project,jobsearch"
2011-02-02 13:32:35,CMP2946,PC-9447,http://yahoo.com/hotjobs/wbofrnepu752138490.html,WWW Visit,jobsearch
2011-02-02 14:02:08,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-02 15:01:43,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-02 16:27:23,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-02 17:13:59,CMP2946,PC-9447,http://monster.com/PybfvatCebwrpgwbofrnepu1180707852.html,WWW Visit,"Closing Project,jobsearch"
2011-02-03 09:22:51,CMP2946,PC-9447,http://jobhuntersbible.com/wbofrnepu1258877042.aspx,WWW Visit,jobsearch
2011-02-03 09:25:58,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-03 09:33:58,CMP2946,PC-9447,http://jobhuntersbible.com/wbofrnepu1258877042.aspx,WWW Visit,jobsearch
2011-02-03 12:04:15,CMP2946,PC-9447,http://yahoo.com/hotjobs/wbofrnepu752138490.html,WWW Visit,jobsearch
2011-02-03 12:50:56,CMP2946,PC-9447,http://aol.com/jobs/wbofrnepu1963819229.jsp,WWW Visit,jobsearch
2011-02-03 13:14:42,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-03 13:24:21,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-03 14:48:51,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-03 14:49:53,CMP2946,PC-9447,http://monster.com/PybfvatCebwrpgwbofrnepu1180707852.html/resume.doc,WWW Upload,jobsearch
2011-02-03 15:23:37,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-04 09:41:18,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-04 15:15:19,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-04 15:22:15,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-04 15:33:17,CMP2946,PC-9447,http://monster.com/PybfvatCebwrpgwbofrnepu1180707852.html,WWW Visit,"Closing Project,jobsearch"
2011-02-04 16:51:45,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-04 16:55:00,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-04 17:07:23,CMP2946,PC-9447,http://monster.com/PybfvatCebwrpgwbofrnepu1180707852.html,WWW Visit,"Closing Project,jobsearch"
2011-02-04 17:39:28,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx,WWW Visit,jobsearch
2011-02-04 17:44:23,CMP2946,PC-9447,http://jobhuntersbible.com/wbofrnepu1258877042.aspx,WWW Visit,jobsearch
2011-02-07 10:20:02,CMP2946,PC-9447,http://linkedin.com/PybfvatCebwrpgwbofrnepu1479839504.htm,WWW Visit,"Closing Project,jobsearch"
2011-02-07 13:06:28,CMP2946,PC-9447,http://lockheedmartin.com/wbofrnepu1636367808.aspx/resume.doc,WWW Upload,jobsearch
