user_id, label, start_date         , end_date
AAB0162,     0,                    , 
AAB0398,     0,                    , 
AAC0610,     0,                    , 
AAC0668,     0,                    , 
AAC3270,     0,                    , 
AAD2188,     0,                    , 
AAD3030,     0,                    , 
AAF0819,     0,                    , 
AAF3937,     0,                    , 
AAG1447,     0,                    , 
AAG3799,     0,                    , 
AAH0721,     0,                    , 
AAM0138,     0,                    , 
AAM0729,     0,                    , 
AAP0352,     0,                    , 
AAP1919,     0,                    , 
AAP1942,     0,                    , 
AAR0641,     0,                    , 
AAS0144,     0,                    , 
AAS2987,     0,                    , 
AAS3428,     0,                    , 
AAT2913,     0,                    , 
AAV3669,     0,                    , 
AAW0894,     0,                    , 
ABB0167,     0,                    , 
ABB0300,     0,                    , 
ABC3523,     0,                    , 
ABD3426,     0,                    , 
ABE2352,     0,                    , 
ABG2353,     0,                    , 
ABG3605,     0,                    , 
ABH0349,     0,                    , 
ABH1181,     0,                    , 
ABH2671,     0,                    , 
ABJ0281,     0,                    , 
ABK0481,     0,                    , 
ABK3081,     0,                    , 
ABL0870,     0,                    , 
ABM3203,     0,                    , 
ABM3641,     0,                    , 
ABM3687,     0,                    , 
ABM3772,     0,                    , 
ABM3776,     0,                    , 
ABO1173,     0,                    , 
ABP2003,     0,                    , 
ABP2917,     0,                    , 
ABR0397,     0,                    , 
ABS0677,     0,                    , 
ABW0501,     0,                    , 
ACA0360,     0,                    , 
ACA3252,     0,                    , 
ACB0701,     0,                    , 
ACB3123,     0,                    , 
ACC2773,     0,                    , 
ACF1806,     0,                    , 
ACG0312,     0,                    , 
ACG3819,     0,                    , 
ACH0008,     0,                    , 
ACH1405,     0,                    , 
ACH1910,     0,                    , 
ACH2102,     0,                    , 
ACJ0014,     0,                    , 
ACL2943,     0,                    , 
ACM0100,     0,                    , 
ACM2278,     0,                    , 
ACM3964,     0,                    , 
ACN2347,     0,                    , 
ACP2122,     0,                    , 
ACR0331,     0,                    , 
ACR0748,     0,                    , 
ACS0128,     0,                    , 
ACS1921,     0,                    , 
ACV1946,     0,                    , 
ACW0426,     0,                    , 
ACW0464,     0,                    , 
ACW1707,     0,                    , 
ADB0350,     0,                    , 
ADB1105,     0,                    , 
ADB3853,     0,                    , 
ADC1469,     0,                    , 
ADG1430,     0,                    , 
ADG1737,     0,                    , 
ADH0975,     0,                    , 
ADM0158,     0,                    , 
ADM0765,     0,                    , 
ADM0923,     0,                    , 
ADM1894,     0,                    , 
ADM2762,     0,                    , 
ADP1625,     0,                    , 
ADP3667,     0,                    , 
ADR1517,     0,                    , 
ADS0763,     0,                    , 
ADS2428,     0,                    , 
ADS2950,     0,                    , 
ADV1640,     0,                    , 
ADV2467,     0,                    , 
ADW2832,     0,                    , 
AEB1458,     0,                    , 
AEB3249,     0,                    , 
AEB3574,     0,                    , 
AED1421,     0,                    , 
AEF2019,     0,                    , 
AEG1121,     0,                    , 
AEH0187,     0,                    , 
AEH2020,     0,                    , 
AEK3566,     0,                    , 
AEM0554,     0,                    , 
AEP1930,     0,                    , 
AEW1442,     0,                    , 
AFB0904,     0,                    , 
AFB1626,     0,                    , 
AFB3228,     0,                    , 
AFF1492,     0,                    , 
AFH1757,     0,                    , 
AFK3800,     0,                    , 
AFP2247,     0,                    , 
AFP2709,     0,                    , 
AGB0057,     0,                    , 
AGB3303,     0,                    , 
AGC0445,     0,                    , 
AGE1244,     0,                    , 
AGF0742,     0,                    , 
AGF1810,     0,                    , 
AGF2302,     0,                    , 
AGG3958,     0,                    , 
AGL1301,     0,                    , 
AGL3519,     0,                    , 
AGM0133,     0,                    , 
AGM3372,     0,                    , 
AGM3504,     0,                    , 
AGS0063,     0,                    , 
AGS2462,     0,                    , 
AGW1590,     0,                    , 
AHB0648,     0,                    , 
AHC0232,     0,                    , 
AHC1994,     0,                    , 
AHC3277,     0,                    , 
AHD2457,     0,                    , 
AHG1408,     0,                    , 
AHG3997,     0,                    , 
AHH0495,     0,                    , 
AHH1966,     0,                    , 
AHK1988,     0,                    , 
AHM0959,     0,                    , 
AHP0154,     0,                    , 
AHS2348,     0,                    , 
AIA2005,     0,                    , 
AIB0553,     0,                    , 
AIB1567,     0,                    , 
AIB3416,     0,                    , 
AIC1071,     0,                    , 
AID2774,     0,                    , 
AIF1202,     0,                    , 
AIH2535,     0,                    , 
AIJ0383,     0,                    , 
AIJ3995,     0,                    , 
AIL2511,     0,                    , 
AIP1614,     0,                    , 
AIS1082,     0,                    , 
AIT1264,     0,                    , 
AIV3936,     0,                    , 
AIY3991,     0,                    , 
AJB1380,     0,                    , 
AJC0722,     0,                    , 
AJC3010,     0,                    , 
AJG0240,     0,                    , 
AJH0279,     0,                    , 
AJH2110,     0,                    , 
AJH3517,     0,                    , 
AJK0611,     0,                    , 
AJM0243,     0,                    , 
AJM0345,     0,                    , 
AJM2385,     0,                    , 
AJN1275,     0,                    , 
AJO2788,     0,                    , 
AJP1199,     0,                    , 
AJQ0809,     0,                    , 
AJS0616,     0,                    , 
AJS3021,     0,                    , 
AJS3899,     0,                    , 
AJV0176,     0,                    , 
AJW1246,     0,                    , 
AKB2312,     0,                    , 
AKB3530,     0,                    , 
AKC1929,     0,                    , 
AKC3739,     0,                    , 
AKD0272,     0,                    , 
AKG2702,     0,                    , 
AKH0454,     0,                    , 
AKH1534,     0,                    , 
